dt,passenger_ivr_entrance_count,driver_ivr_entrance_count,finish_ord_cnt,finish_dri_cnt,finish_pas_cnt,act_dri_cnt,act_pas_cnt,avg_strive_suc_assign_orders,sum_strive_suc_assign_orders,avg_finish_assign_count,sum_finish_assign_count,avg_finish_orders,sum_finish_orders,avg_charge_time_length,sum_charge_time_length,avg_server_time_length,sum_server_time_length,avg_wait_time_length,sum_wait_time_length,avg_dri_cancel_ord_cnt,sum_dri_cancel_ord_cnt,avg_pas_afterstrive_cancel_ord_cnt,sum_pas_afterstrive_cancel_ord_cnt,avg_gmv,sum_gmv,avg_charge_distance,sum_charge_distance,avg_real_order_arrive_time,sum_real_order_arrive_time,avg_subsidy_b,sum_subsidy_b,avg_subsidy_c,sum_subsidy_c
2018/6/1,94552,336013,21142569,1590046,15347403,1633196,17863491,4.724123341,23681539,4.093518996,20520385,4.184408374,20976004,3662.365197,18359055847,4945.64151,24791986542,266.1681651,1334273330,0.036627929,183612,0.535014291,2681971,80.58783248,403978423.1,25.45634377,127609189.3,1113.044344,5579575538,1.011214262,29826938.68,1.106471086,32636649.28
2018/6/2,85606,285208,20418923,1583517,14682133,1615464,15983548,4.559648527,22152145,4.068868108,19767786,4.17061129,20262085,3472.29237,16869441493,4608.49601,22389460774,278.6650498,1353838690,0.034322081,166747,0.410157996,1992671,78.38719558,380828590.7,25.18095538,122336333.3,918.2145355,4460962596,0.848033867,24958718.79,1.120038838,32964172.18
2018/6/3,72791,239969,19222263,1536429,13947013,1569151,14964497,4.430326534,20757276,3.975389038,18625771,4.077027364,19101974,3349.714802,15694318271,4430.663597,20758855233,274.0686827,1284085777,0.032970779,154477,0.385266591,1805078,77.01158931,360820089.1,25.01513332,117202178.4,863.9669771,4047918559,0.75690432,20955035.38,1.070728533,29643316.45
2018/6/4,70817,262650,17518170,1554668,12588405,1586320,13569040,4.114602302,18941403,3.688492718,16979825,3.781438696,17407698,3159.364404,14544004500,4149.866241,19103739095,252.7294534,1163429677,0.029416576,135418,0.364193751,1676551,71.43730729,328858715.2,22.76776707,104810163.5,797.7604679,3672457606,1.075965855,29073617.42,0.867124178,23430517.31
2018/6/5,68723,262139,18045016,1565881,12883864,1599318,13871779,4.212913194,19531272,3.777048948,17510584,3.868002474,17932249,3222.023182,14937457349,4247.474365,19691499282,260.7116405,1208671940,0.03068971,142279,0.371023473,1720083,72.40499719,335673114.8,22.99552572,106608039.1,830.3546895,3849565028,0.924311653,22516893.67,1.009379915,24589217.45
2018/6/6,69982,235612,18305324,1558450,13049764,1591439,14202101,4.284931115,19832538,3.835175928,17750874,3.930298083,18191141,3263.247759,15103739930,4313.583724,19965154825,263.5651362,1219894892,0.031493562,145766,0.382845573,1771977,73.23739013,338974719.5,23.26447857,107677661.6,856.8052937,3965670180,0.960167937,23704852.63,1.029255303,25410497.82
2018/6/7,69312,239712,18105088,1542194,12900648,1575023,14087461,4.267881212,19641246,3.812146045,17543904,3.908400218,17986876,3249.513757,14954610006,4299.860192,19788416687,262.6470336,1208729752,0.031864752,146645,0.386674408,1779517,72.9653736,335794456.6,23.10547142,106333343.5,859.6562766,3956230168,0.857132468,22082851.48,1.02772513,26477939.24
2018/6/8,78949,256168,19672458,1603806,14321423,1643478,16673822,4.492498997,21809964,3.924817771,19054013,4.019478033,19513565,3487.491965,16930905104,4642.276646,22537097191,265.6361702,1289597463,0.035668359,173161,0.477201199,2316693,75.44455278,366264518.1,23.76005672,115348565.1,987.6723982,4794903563,0.890025672,24492356.58,1.124765758,30952100.45
2018/6/9,73591,253252,20979696,1619179,15069086,1650769,16400838,4.667508528,22768480,4.161647205,20300848,4.268833434,20823711,3544.870626,17292162502,4710.599743,22978682396,287.3509955,1401721144,0.034868227,170090,0.424303209,2069785,78.46856119,382775919,25.07827611,122333210.2,943.5384756,4602656167,0.814299627,24059742.21,1.142797836,33765729.98
2018/6/10,67667,227910,19856964,1554674,14292129,1585981,15294903,4.530835774,21385640,4.072193111,19220837,4.179815937,19728819,3393.995135,16019728312,4501.049303,21245047234,279.7419997,1320388113,0.032829303,154955,0.388761618,1834963,77.37587605,365215759.9,24.99003108,117953121.7,884.126059,4173093565,0.903338477,26434736.22,1.121491847,32818640.96
2018/6/11,71340,228105,18416541,1569642,13188457,1600531,14387909,4.265701538,20050094,3.800862029,17865207,3.893838781,18302226,3300.121767,15511575542,4354.61947,20468035313,254.4308172,1195902188,0.031427329,147718,0.396373937,1863078,73.2295384,344201092.2,23.26576277,109355599.4,870.7530064,4092803839,1.05717841,31782659.69,0.88554447,26622714.06
2018/6/12,69967,229468,18401545,1569575,13136277,1603265,14346814,4.27816909,19994404,3.816799252,17838151,3.912040618,18283270,3310.698973,15472846304,4371.608141,20431099721,259.5493923,1213027185,0.032135261,150187,0.390435702,1824736,73.45713123,343308440.5,23.69595201,110744524.6,873.9296091,4084387808,0.817608016,20607209.1,1.014894234,25579663.21
2018/6/13,70568,231614,18416024,1580119,13156046,1612255,14352632,4.259490927,19921835,3.816750359,17851117,3.912116109,18297147,3290.140163,15388136891,4333.437858,20267688199,260.4952547,1218348289,0.030769635,143911,0.376462408,1760732,73.39347321,343264650.3,23.69194684,110807661.8,852.0724596,3985182089,0.947034647,23888915.83,1.041175499,26263615.52
2018/6/14,69242,221132,18688991,1575178,13355557,1606380,14563707,4.273496286,20234975,3.820782417,18091378,3.919301676,18557866,3362.63596,15922057732,4417.367242,20916202970,256.9663524,1216733880,0.029925704,141698,0.386520952,1830174,74.77632389,354065370.2,24.12096708,114211814.3,867.9611928,4109790172,0.923704417,24251227.65,1.022166617,26836285.36
2018/6/15,81867,229652,21503072,1655681,15619336,1692800,17636241,4.661981388,23799070,4.0771782,20813693,4.178193768,21329370,3749.653335,19141702800,4961.507744,25328129882,266.7919607,1361953217,0.033899806,173056,0.498928094,2546991,80.91422395,413061125.6,25.82863451,131852208.9,1037.177711,5294715464,1.024527488,30017480.27,1.166368869,34173270.04
2018/6/16,75839,231045,21386036,1603678,15471831,1633614,16843262,4.674487027,23177294,4.165863225,20655408,4.280061086,21221630,3597.05665,17835120524,4752.129303,23562264127,285.5231902,1415696500,0.035049031,173782,0.427752794,2120907,81.81440626,405656607.1,26.80704741,132915479.9,933.1421934,4626756013,0.987382656,29872896.92,1.136609941,34387713.21
2018/6/17,79120,214454,20936086,1522875,15074958,1553852,16635364,4.808008843,22853769,4.2622979,20259857,4.370839576,20775785,3604.458585,17132968464,4824.136289,22930427123,285.9773198,1359327701,0.037766624,179515,0.453557561,2155882,83.70570494,397875899.8,27.55727013,130986621.8,1003.502113,4769917492,0.981610514,30104872.48,1.183446075,36294938.45
2018/6/18,86395,206508,20120807,1456784,14814203,1496373,17577641,4.796759225,22325945,4.188365757,19494250,4.291805935,19975700,3545.263763,16501008298,4813.544338,22404069308,277.1687735,1290049073,0.042693755,198713,0.502421052,2338459,85.07464282,395969801.1,28.06815354,130639347.2,1090.385616,5075070095,1.174657594,38650274.49,1.040232688,34227232.78
2018/6/19,78969,246098,19012880,1583913,13793791,1616736,15390607,4.345617465,20804309,3.845134846,18408287,3.946747969,18894752,3308.477854,15839082974,4409.810149,21111626532,251.1294166,1202262745,0.032188716,154101,0.42694201,2043952,75.08718964,359474138.7,24.3333765,116493777,927.0463124,4438162838,1.084508634,31891296.23,0.932461232,27420157.34
2018/6/20,74710,226448,18970323,1577217,13586408,1610329,14995496,4.340775837,20604556,3.867020453,18355760,3.969961732,18844396,3326.714796,15791066823,4412.293131,20944030356,258.2614817,1225901397,0.032189848,152797,0.402120611,1908764,74.51504525,353703918.5,24.07045463,114255780.6,906.1059494,4301053885,1.026887121,28780621.81,0.987124163,27666183.22
